139806,Fresh Rockmelon Whole Each,$5.90,$5.90 / 1EA,/shop/productdetails/139806/fresh-rockmelon-whole
134681,Fresh Broccoli Each,$1.29,$1.29 / 1EA,/shop/productdetails/134681/fresh-broccoli
170154,Cabbage Chinese Wombok Half Each,$2.45,$2.45 / 1EA,/shop/productdetails/170154/cabbage-chinese-wombok-half
111670,Potato Red Washed Each,$0.81,$0.81 / 1EA,/shop/productdetails/111670/potato-red-washed
135306,Red Capsicum Each,$0.88,$0.88 / 1EA,/shop/productdetails/135306/red-capsicum
147197,Woolworths Butternut Pumpkin Cut Each,$2.28,$2.28 / 1EA,/shop/productdetails/147197/woolworths-butternut-pumpkin-cut
827628,Woolworths Leafy Mix Salad 120g,$2.00,$16.67 / 1KG,/shop/productdetails/827628/woolworths-leafy-mix-salad
122453,Select Tomato Roma 1kg Punnet,N/A,N/A,/shop/productdetails/122453/select-tomato-roma
137102,Woolworths Continental Cucumbers Each,$1.50,$1.50 / 1EA,/shop/productdetails/137102/woolworths-continental-cucumbers
760007,Woolworths Roma Tomato 480g Punnet,$5.90,$12.29 / 1KG,/shop/productdetails/760007/woolworths-roma-tomato
246566,Potato Brushed Each,$0.67,$0.67 / 1EA,/shop/productdetails/246566/potato-brushed
144329,Onion Brown Each,$0.56,$0.56 / 1EA,/shop/productdetails/144329/onion-brown
149358,Swedes Fresh Each,$1.61,$1.61 / 1EA,/shop/productdetails/149358/swedes-fresh
135344,Carrot Fresh Each,$0.35,$0.35 / 1EA,/shop/productdetails/135344/carrot-fresh
144497,Onion Red Each,$0.66,$0.66 / 1EA,/shop/productdetails/144497/onion-red
262783,Woolworths Washed Potatoes Bag 2kg,$4.50,$2.25 / 1KG,/shop/productdetails/262783/woolworths-washed-potatoes-bag
157649,Eat Later Cavendish Bananas Each,$0.72,$0.72 / 1EA,/shop/productdetails/157649/eat-later-cavendish-bananas
154340,Iceberg Lettuce Each,$2.90,$2.90 / 1EA,/shop/productdetails/154340/iceberg-lettuce
707370,Woolworths Rosemary Fresh Herb 10g Punnet,$3.20,$3.20 / 10G,/shop/productdetails/707370/woolworths-rosemary-fresh-herb
143709,Pumpkin Kent Cut Each,$1.05,$1.05 / 1EA,/shop/productdetails/143709/pumpkin-kent-cut
748374,Strawberry Fresh 450g Punnet,N/A,N/A,/shop/productdetails/748374/strawberry-fresh
531041,Woolworths Classic Coleslaw 200g,$2.00,$10.00 / 1KG,/shop/productdetails/531041/woolworths-classic-coleslaw
743361,Woolworths Asian Style Salad Kit 350g,$5.50,$15.71 / 1KG,/shop/productdetails/743361/woolworths-asian-style-salad-kit
717237,Macro Certified Organic Baby Spinach 100g,$4.00,$40.00 / 1KG,/shop/productdetails/717237/macro-certified-organic-baby-spinach
839552,Zucchini Green Punnet 500g,$3.90,$7.80 / 1KG,/shop/productdetails/839552/zucchini-green-punnet
169067,Woolworths Qukes Baby Cucumbers Punnet 250g,$3.50,$14.00 / 1KG,/shop/productdetails/169067/woolworths-qukes-baby-cucumbers-punnet
144336,Woolworths Onion Brown Bag 1kg,$3.20,$3.20 / 1KG,/shop/productdetails/144336/woolworths-onion-brown-bag
135449,Woolworths Odd Bunch Chopped Spinach 400g,$5.80,$14.50 / 1KG,/shop/productdetails/135449/woolworths-odd-bunch-chopped-spinach
447755,Woolworths Lettuce Iceberg Blend Lettuce Blend 300g,$3.00,$10.00 / 1KG,/shop/productdetails/447755/woolworths-lettuce-iceberg-blend-lettuce-blend
130935,Fresh Granny Smith Apples Each,$0.86,$0.86 / 1EA,/shop/productdetails/130935/fresh-granny-smith-apples
155003,Apple Royal Gala Each,$0.78,$0.78 / 1EA,/shop/productdetails/155003/apple-royal-gala
64423,Woolworths Sweet Berry Truss Tomatoes Punnet 140g,N/A,N/A,/shop/productdetails/64423/woolworths-sweet-berry-truss-tomatoes-punnet
233376,Woolworths Caesar Salad Kit Kit 290g,$5.50,$18.97 / 1KG,/shop/productdetails/233376/woolworths-caesar-salad-kit-kit
